Sentence,Noun,Pronoun
The beauty of the landscape struck the travellers.,"['beauty', 'landscape', 'travellers']",[]
Nobody knows the truth about this affair.,"['truth', 'affair']",['Nobody']
"In a dictatorship, freedom of expression is limited.","['dictatorship', 'freedom', 'expression']",[]
"Liberty, equality, fraternity is the motto of the French republic.","['equality', 'fraternity', 'motto']",[]
He did not help you out of kindness.,['kindness'],"['He', 'you']"
His wickedness had no limits.,"['wickedness', 'limits']",['His']
His elegance impressed the assembly.,"['elegance', 'assembly']",['His']
There is a big difference between the western and the asiatic culture.,"['difference', 'culture']",['There']
He has high ideals.,['ideals'],['He']
He was struck by the modernity of the underground.,"['modernity', 'underground']",['He']
The quality of his work was acknowledged by the jury.,"['quality', 'work', 'jury']",['his']
A significant amount of oil has spilt in the sea.,"['amount', 'oil', 'sea']",[]
He has been impressed by the cleanliness of his flat.,"['cleanliness', 'flat']","['He', 'his']"
He is a very handsome young man.,['man'],['He']
His mother makes very tasty pies.,"['mother', 'pies']",['His']
Everything he said was true.,[],"['Everything', 'he']"
His calculations were wrong.,['calculations'],['His']
His joke was in bad taste.,"['joke', 'taste']",['His']
We did not go to the beach because the weather was bad.,"['beach', 'weather']",['We']
He gave the wrong answer.,['answer'],['He']
This little dog is very ugly.,['dog'],[]
It is a fast car but it is hard to drive.,['car'],"['It', 'it']"
This truck is very slow.,['truck'],[]
It is very cold in his flat.,['flat'],"['It', 'his']"
This dish is very hot.,['dish'],[]
"The cat is too high, I cannot reach it.",['cat'],"['I', 'it']"
The level of the river is low because of the drought.,"['level', 'river', 'drought']",[]
The Marianas Trench is the deepest trench of the Pacific Ocean.,['trench'],[]
His wound is only superficial.,['wound'],['His']
"That's one small step for a man, one giant leap for mankind.","['step', 'man', 'leap']",['That']
You brother is very tall.,['brother'],['You']
He always dresses in black.,[],['He']
I do not have any white shirt left.,['shirt'],['I']
My hands are red because of the cold.,"['hands', 'cold']",['My']
He is wearing a blue shirt.,['shirt'],['He']
I have a green car.,['car'],['I']
The milk had turned yellow.,['milk'],[]
The sky is grey due to the pollution.,"['sky', 'pollution']",[]
What is this purple flower called?,['flower'],['What']
"Be careful, this dog is nasty.",['dog'],[]
He is kind only when he needs you.,[],"['He', 'he', 'you']"
He travelled a lot when he was young.,['lot'],"['He', 'he']"
I am too old to travel.,[],['I']
I lost myself in the narrow alleys of the old city.,"['alleys', 'city']","['I', 'myself']"
The road is wide enough for two cars.,"['road', 'cars']",[]
"The trip was too long, I am exhausted.",['trip'],['I']
"My stay here has been too short, I have to come back.",['stay'],"['My', 'I']"
She is very beautiful but she does not realize it.,[],"['She', 'she', 'it']"
She bought a pretty dress.,['dress'],['She']
This swiss knife is very useful when you travel.,['knife'],['you']
This language class is completely useless.,"['language', 'class']",[]
This exercice is very easy.,['exercice'],[]
Exams were rather tough this year.,"['Exams', 'year']",[]
The most efficient solutions are often the simplest ones.,"['solutions', 'ones']",[]
He has a complex personnality which is what makes him charming.,['personnality'],"['He', 'which', 'what']"
The hamster has been behaving strangely these last few days.,"['hamster', 'days']",[]
"The solution was obvious, it really jumped out at you.",['solution'],"['it', 'you']"
He is amusing but he does not realise it.,[],"['He', 'he', 'it']"
It's funny I cannot remember him.,[],"['It', 'I', 'him']"
The situation was enjoyable.,['situation'],[]
"He is an excellent pupil, but he does not want to study.",['pupil'],"['He', 'he']"
This teacher is mediocre but we have no choice.,"['teacher', 'choice']",['we']
The offices of the company are located in an old building.,"['offices', 'company', 'building']",[]
He is a new author.,['author'],['He']
Children are more quiet after a nap.,"['Children', 'nap']",[]
This man looks crazy.,['man'],[]
He was wearing a beige pair of trousers and a white shirt.,"['pair', 'trousers', 'shirt']",['He']
The wallpapers of his house are mauve.,"['wallpapers', 'house', 'mauve']",['his']
He has brown eyes.,['eyes'],['He']
The houses of this village had orange doors.,"['houses', 'village', 'doors']",[]
The water of this river is almost transparent.,"['water', 'river']",[]
He wears very coloured clothes.,['clothes'],['He']
The drawing was a little bit dull.,"['drawing', 'bit']",[]
"Night is falling, the street is dark.","['Night', 'street']",[]
It is impossible to work in these conditions.,['conditions'],['It']
He had a fair skin despite his holidays at the beach.,"['skin', 'holidays', 'beach']","['He', 'his']"
It was obvious that he was lying.,[],"['It', 'he']"
This cake is delicious.,['cake'],[]
"This black dress suits you well, you are very stylish.","['dress', 'suits']","['you', 'you']"
He lives in a pleasant house on the seashore.,"['house', 'seashore']",['He']
My stepmother is particularly unpleasant.,['stepmother'],['My']
He knows how to be charming when he wants to be.,[],"['He', 'he']"
A fatal accident occured on the motorway.,"['accident', 'motorway']",[]
This painting is magnificent.,['painting'],[]
This is an original project.,['project'],['This']
"To be efficient, you have to be motivated.",[],['you']
He is very unefficient when he does not sleep,[],"['He', 'he']"
He is very gifted in mathematics.,['mathematics'],['He']
He is an exceptionnal artist who has a bright future ahead of him.,"['artist', 'future']","['He', 'who', 'him']"
Something aweful happened.,['aweful'],['Something']
Your sister was impressive during the tennis game.,"['sister', 'tennis', 'game']",['Your']
Your son is really unbearable.,['son'],['Your']
This dress is vulgar.,['dress'],[]
This shirt is clean.,['shirt'],[]
He took his own car.,['car'],"['He', 'his']"
"The flat is dirty, it should be cleaned up.",['flat'],['it']
This restaurant is among the most famous in Paris,['restaurant'],[]
"His speech was short, but the success was thundering.","['speech', 'success']",['His']
Wanting to take the driver's licence exam without being ready is absurd.,"['driver', 'licence', 'exam']",[]
He is not that different from the other ones.,['ones'],['He']
The organisation of this university is outrageous.,"['organisation', 'university']",[]
"You left the pie in the oven for too long, it is completely burnt now.","['pie', 'oven']","['You', 'it']"
"Be careful, this dish is piping hot.",['dish'],[]
Do you prefer onions raw or cooked?,['onions'],['you']
"This chicken is overcooked, it is inedible.",['chicken'],['it']
"This soil is very fertile, the harvest will be good;","['soil', 'harvest']",[]
"His sister is sterile, she cannot have children.","['sister', 'children']","['His', 'she']"
"This bag is very heavy, could you help me?",['bag'],"['you', 'me']"
"Your suitcase is light, let me carry it for you.",['suitcase'],"['Your', 'me', 'it']"
Your absences are too frequent.,['absences'],['Your']
"It is a very rare species, it should be protected.",['species'],"['It', 'it']"
Your shirt is ridiculous.,['shirt'],['Your']
I am visiting my family next month.,"['family', 'month']","['I', 'my']"
It is the last time I am travelling by bus.,"['time', 'bus']","['It', 'I']"
A powerful explosion woke up the neighboorhood.,"['explosion', 'neighboorhood']",[]
He is helpless faced with this situation.,['situation'],['He']
He thinks he passed this exam. Its is possible but not very likely.,['exam'],"['He', 'he', 'Its']"
His success is likely.,['success'],['His']
Swallows come back periodically.,['Swallows'],[]
Patience is a precious virtue,"['Patience', 'virtue']",[]
"It is a private property, it is forbidden to enter.",['property'],"['It', 'it']"
Smoking is forbidden in public places.,"['Smoking', 'places']",[]
I am sure I have locked the door.,['door'],"['I', 'I']"
Practicing sport regularly bears more fruit than practicing sport intensively.,"['sport', 'fruit', 'sport']",[]
"The comfort of this house is a bit rustic, but one gets used to it.","['comfort', 'house', 'bit']",['it']
The Netherlands is a flat country.,['country'],[]
They are very snobbish people.,['people'],['They']
I am not thin enough for this dress.,['dress'],['I']
This acrobat is very agile.,['acrobat'],[]
"This job is very exhausting, I will change jobs soon.","['job', 'jobs']",['I']
This kid is unique.,['kid'],[]
She listens to her feminine intuition too much.,['intuition'],"['She', 'her']"
She is a very masculine girl.,['girl'],['She']
Maternal love is instinctive.,['love'],[]
He just broke an absolute record.,['record'],['He']
He remained a virgin until the day he got married.,"['virgin', 'day']","['He', 'he']"
He leads a very ordinary life.,['life'],['He']
She has an extraordinary ability to forget everything.,['ability'],"['She', 'everything']"
